Код,Проект,Хто повідомив,Кому призначена,Пріоритет,Серйозність,Відтворюваність,Версія продукту,Категорія,Зареєстрована,ОС,Версія,Платформа,Рівень доступу,Оновлена,Статистика,Статус,Резолюція,Виправлена у версії
0001888,QA31,manchinipeter,,нормальний,незначна,завжди,,General,2024-03-15,,,,спільна,2024-03-15,[NOVOSOLOV] Неверное написание адреса в футере в английской локализации,нова,відкрита,
0001887,QA31,manchinipeter,,нормальний,незначна,не пробував,,General,2024-03-15,,,,спільна,2024-03-15,[NOVOSOLOV] Отсутствует перевод ПОЛИТИКА ИСПОЛЬЗОВАНИЯ ФАЙЛОВ COOKIES на английский и русский язык,нова,відкрита,
0001886,QA31,manchinipeter,,нормальний,незначна,не пробував,,General,2024-03-15,,,,спільна,2024-03-15,0001885: [NOVOSOLOV] Отсутствует перевод СОГЛАШЕНИЕ ПОЛЬЗОВАТЕЛЯ на английский и русский язык,нова,відкрита,
0001885,QA31,manchinipeter,,нормальний,незначна,не пробував,,General,2024-03-15,,,,спільна,2024-03-15,[NOVOSOLOV] Отсутствует перевод Политика конфиденциальности на английский и русский язык,нова,відкрита,
0001884,QA31,manchinipeter,,нормальний,незначна,не пробував,,General,2024-03-15,,,,спільна,2024-03-15,[NOVOSOLOV] Теги HTML присутствуют в тексте соглашения об обработке персональных данных,нова,відкрита,
0001883,QA31,manchinipeter,,нормальний,значна,завжди,,General,2024-03-15,,,,спільна,2024-03-15,[NOVOSOLOV] Наложение элементов интерфейса,нова,відкрита,
0001882,QA31,manchinipeter,,нормальний,незначна,не пробував,,General,2024-03-15,,,,спільна,2024-03-15,[NOVOSOLOV] Не оригинальный контент на странице https://avada-media.ua/ua/services/dyzayn-personazhey-2d/,нова,відкрита,
0001881,QA31,manchinipeter,,нормальний,незначна,не пробував,,General,2024-03-15,,,,спільна,2024-03-15,[NOVOSOLOV] Некоторые куки неправильно используют рекомендованный атрибут «SameSite»,нова,відкрита,
0001880,QA31,manchinipeter,,низький,незначна,завжди,,General,2024-03-15,,,,спільна,2024-03-15,[NOVOSOLOV] Предупреждения Content-Security-Policy,нова,відкрита,
0001879,QA31,manchinipeter,,нормальний,незначна,завжди,,General,2024-03-15,,,,спільна,2024-03-15,[NOVOSOLOV] Не идентифицированы шрифты в запросах,нова,відкрита,
0001866,QA31,Svitlana,,нормальний,незначна,завжди,,General,2024-03-14,,,,спільна,2024-03-14,"[Ляшенко]Буква ""U"" отсутствует в списке букв словаря терминов",нова,відкрита,
0001867,QA31,Svitlana,,нормальний,банальна,завжди,,General,2024-03-14,,,,спільна,2024-03-14,"[Ляшенко] Опечатка в слове ""Android"" в разделе ""F.A.Q.""",нова,відкрита,
